Date       , Business Name    , Category                     , Amount
02/09/2024 , Delta Airlines   , Travel & Transportation      , 320
03/09/2024 , IKEA             , Retail & Shopping            , 150
04/09/2024 , McDonald's       , Food & Beverage              , 9.0
05/09/2024 , Walgreens        , Home & Personal Care         , 16.0
06/09/2024 , Zara             , Retail & Shopping            , 100
07/09/2024 , Trader Joe's     , Retail & Shopping            , 65.0
08/09/2024 , Microsoft        , Entertainment & Subscriptions, 140
09/09/2024 , GameStop         , Entertainment & Subscriptions, 70
10/09/2024 , Marriott         , Travel & Transportation      , 230
01/10/2024 , Starbucks        , Food & Beverage              , 8.00
02/10/2024 , Amazon           , Retail & Shopping            , 85.00
03/10/2024 , Whole Foods      , Home & Personal Care         , 95.0
04/10/2024 , Shell            , Travel & Transportation      , 70
05/10/2024 , Netflix          , Entertainment & Subscriptions, 19.99
06/10/2024 , Uber             , Travel & Transportation      , 20.0
07/10/2024 , Walmart          , Retail & Shopping            , 80.0
08/10/2024 , Best Buy         , Retail & Shopping            , 290.00
09/10/2024 , Target           , Retail & Shopping            , 90.0
10/10/2024 , Chipotle         , Food & Beverage              , 30.0
01/11/2024 , Spotify          , Entertainment & Subscriptions, 13.99
02/11/2024 , Home Depot       , Home & Personal Care         , 160
03/11/2024 , Dunkin' Donuts   , Food & Beverage              , 6.5
04/11/2024 , Airbnb           , Travel & Transportation      , 150
05/11/2024 , Apple Store      , Retail & Shopping            , 1150.00
06/11/2024 , Costco           , Home & Personal Care         , 200
07/11/2024 , Subway           , Food & Beverage              , 11.0
08/11/2024 , CVS              , Home & Personal Care         , 40.0
09/11/2024 , Sephora          , Home & Personal Care         , 50.0
10/11/2024 , Petco            , Home & Personal Care         , 65.0
01/12/2024 , Panera Bread     , Food & Beverage              , 21.0
02/12/2024 , Delta Airlines   , Travel & Transportation      , 340
03/12/2024 , IKEA             , Retail & Shopping            , 160
04/12/2024 , McDonald's       , Food & Beverage              , 9.5
05/12/2024 , Walgreens        , Home & Personal Care         , 17.0
06/12/2024 , Zara             , Retail & Shopping            , 105
07/12/2024 , Trader Joe's     , Retail & Shopping            , 70.0
08/12/2024 , Microsoft        , Entertainment & Subscriptions, 150
09/12/2024 , GameStop         , Entertainment & Subscriptions, 75
10/12/2024 , Marriott         , Travel & Transportation      , 240
02/01/2025 , Target           , Retail & Shopping            , 70.0
04/01/2025 , Chipotle         , Food & Beverage              , 25.0
04/01/2025 , Spotify          , Entertainment & Subscriptions, 11.99
05/01/2025 , Home Depot       , Home & Personal Care         , 120
07/01/2025 , Dunkin' Donuts   , Food & Beverage              , 5.0
10/01/2025 , Airbnb           , Travel & Transportation      , 130
12/01/2025 , Apple Store      , Retail & Shopping            , 1050.00
